"pub_day","thumbnail_url","photo_page","description","author"
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0096a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0096a.jpg/view","Brasília - O comandante da Marinha, almirante de esquadra Roberto de Guimarães Carvalho, entrega ao presidente Luiz Inácio Lula da Silva um livro sobre exposição promovida na Marinha.",
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0026a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0026a.jpg/view","Brasília - Everton Conceição Santos, 8 anos, cumprimenta o presidente Luiz Inácio Lula da Silva. O menino aparece ao fundo numa das fotos da exposição São Milhões de Lulas, do fotógrafo da Presidência Ricardo Stuckert.",
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0032a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0032a.jpg/view","Brasília - O presidente Luiz Inácio Lula da Silva e a primeira-dama Marisa Letícia posam com o menino Everton Conceição Santos, 8 anos, junto com a mãe dele e o fotógrafo da Presidência, Ricardo Stuckert, autor da exposição São Milhões de Lulas.",
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0072a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0072a.jpg/view","Brasília - Admiradoras abraçam o presidente Luiz Inácio Lula da Silva.",
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0005a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0005a.jpg/view","Brasília - O presidente Luiz Inácio Lula da Silva autografa bandeira de militante do PT.",
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0023a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0023a.jpg/view","Brasília - Everton Conceição Santos, 8 anos, cumprimenta o presidente Luiz Inácio Lula da Silva. O menino aparece ao fundo numa das fotos da exposição São Milhões de Lulas.",
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0011a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0011a.jpg/view","Brasília - O presidente Luiz Inácio Lula da Silva e a primeira-dama Marisa Letícia observam a foto de um comício, que compõe a exposição São Milhões de Lulas.",
"2006-12-30","http://stream.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0015a.image_miniatura.jpg","http://www.agenciabrasil.gov.br/media/imagens/2006/12/30/1220RP0015a.jpg/view","Brasília - O presidente Luiz Inácio Lula da Silva observa uma foto da exposição São Milhões de Lulas. Ao fundo, a primeira-dama Marisa Letícia.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc78.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc78.jpg/view","Brasília - A passageira Regina de Sousa Lima, que viajou com o filho para o Piauí, fala sobre a expectativa da viagem.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc65.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc65.jpg/view","Brasília - Movimento de passageiros no Terminal Rodoferroviário de Brasília.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc65.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc65.jpg/view","Brasília - Movimento de passageiros no Terminal Rodoferroviário de Brasília.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc34.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc34.jpg/view","Brasília - Passageiros aguardam na Rodoferroviária a hora de despachar a bagagem e embarcar nos ônibus.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc25.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc25.jpg/view","Brasília - Passageiros aguardam na plataforma da Rodoferroviária o momento de embarcar.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc08.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc08.jpg/view","Brasília - O administrador do Terminal Rodoferroviário de Brasília, José Furtado Pereira, em entrevista sobre o movimento de passageiros no final de ano.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc02.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/2012vc02.jpg/view","Brasília - Movimento de passageiros no Terminal Rodoferroviário de Brasília.",
